DateTime,Entries,UniqueIPs
1434197235,745,18836992
1434283635,746,18838016
1434283635,746,18838016
1434283635,746,18838016
1434542832,746,18839040
1434629234,746,18839040
1434629234,746,18839040
1434802034,746,18835968
1435147643,748,18838016
1435234037,749,18839040
1435406833,750,18841088
1435493234,751,18842112
1435838844,752,18843136
1436098033,753,18844160
1436357235,754,18845184
1436962042,756,18845952
1437221233,757,18846976
1437307639,758,18848000
1437566840,759,18849024
1437653234,761,18851072
1437826038,763,18853120
1437912439,764,18854144
1438517240,765,18855168
1438776441,767,18856448
1438949235,768,18857472
1439122061,770,18859520
1439122061,770,18859520
1439122061,770,18859520
1439122061,770,18859520
1439208442,770,18859520
1439381237,773,18862592
1439467637,774,18863616
1439554041,774,18864640
1439640436,775,18865664
1439640436,775,18865664
1439986039,777,18868736
1440158843,778,18869760
1440158843,778,18869760
1440245241,778,18870016
1440331635,779,18871040
1440590838,779,18871040
1440763639,780,18872064
1440936438,781,18873088
1441282034,784,18878208
1441541239,786,18880256
1442491638,788,18882304
1443096438,790,18884352
1443182843,791,18884608
1443701235,793,18887680
1444219636,794,18888704
1444478841,796,18889984
1444910840,798,18892032
1444997241,799,18893056
1445083643,801,18894336
1445170040,803,18896384
1445429241,805,18897664
1445515642,807,18899712
1445774839,808,18900736
1446034032,809,18901760
1446120433,810,18902784
1446379633,811,18903808
1447934834,812,18904832
1448194034,813,18905856
1449230836,814,18906880
1449835633,816,18908928
1450267629,817,18909952
1450354031,818,18912000
1450440431,820,18913280
1450526828,821,18914304
1450958828,823,18916352
1451563632,824,18917376
1452254830,825,18918400
1452427625,826,18919424
1452859629,828,18921472
1452946030,829,18922496
1453118828,829,18922496
1453205231,829,18922496
1453291628,830,18923520
1453378031,830,18923520
1453464429,830,18923520
1453550832,831,18924544
1453637228,833,18926592
1453723630,833,18926592
1454069232,833,18927616
1454155631,833,18928640
1454242027,834,18929664
1454674027,833,18928640
1454846830,834,18930688
1455710828,837,18933760
1455883630,838,18934784
1456402028,840,18936832
1456488429,842,18938880
1456574828,843,18939904
1457093231,844,18940928
1457179633,846,18942976
1457611629,847,18944000
1457698029,848,18945024
1457870828,849,18946048
1458216431,850,18947072
1458907632,851,18948096
1459339631,852,18949120
1459426055,852,18945024
1459512429,853,18946048
1460030829,856,18949120
1460290034,857,18950144
