DateTime,Entries,UniqueIPs
1460503323,6331,6554
1460504523,6323,6546
1460505725,6266,6488
1460506922,6255,6476
1460508122,6260,6481
1460509323,6206,6426
1460510522,6156,6373
1460515922,6160,6377
1460517123,6167,6384
1460518322,6174,6391
1460519522,6179,6396
1460520722,6158,6375
1460521922,6162,6376
1460523122,6137,6351
1460524322,6142,6356
1460525522,6140,6351
1460526722,6139,6350
1460527922,6142,6357
1460529122,6094,6303
1460530322,6100,6309
1460531522,6102,6311
1460532721,6089,6298
1460533922,6102,6309
1460535122,6139,6347
1460536922,6107,6308
1460538121,6129,6331
1460539322,6134,6336
1460540522,6137,6339
1460541724,6086,6288
1460542922,6088,6292
1460544122,6065,6266
1460545324,6079,6280
1460546522,6044,6244
1460547721,6038,6238
1460548921,6033,6233
1460550122,6034,6230
1460551322,6036,6232
1460552522,6034,6230
1460553722,6035,6231
1460554922,6047,6245
1460556122,6044,6242
1460557322,6054,6252
1460558523,6059,6257
1460559723,6030,6225
1460560922,6026,6220
1460562122,6030,6225
1460563322,6026,6221
1460564522,6032,6225
1460565722,6021,6214
1460566922,6039,6232
1460568122,6029,6222
1460569322,6027,6219
1460570522,6030,6220
1460571727,6007,6195
1460572922,6008,6195
1460574122,6014,6202
1460575322,6012,6196
1460576522,6009,6193
1460577722,6002,6187
1460578922,5985,6168
1460580122,5980,6163
1460581322,5980,6163
1460582522,5941,6123
1460583723,5938,6120
1460584922,5938,6120
1460586122,5936,6118
1460587322,5920,6101
1460588522,5919,6100
1460589724,5918,6099
1460590922,5888,6065
1460592123,5881,6058
1460593321,5883,6060
1460594522,5882,6057
1460595722,5886,6062
1460596922,5863,6039
1460598123,5865,6040
1460599323,5873,6048
1460600522,5872,6042
1460601722,5885,6055
1460602923,5845,6015
1460604122,5842,6012
1460605322,5845,6016
1460606522,5855,6020
1460607722,5840,6005
1460608922,5780,5943
1460610122,5773,5935
1460611324,5781,5944
1460612522,5789,5952
1460613722,5776,5939
1460614922,5754,5913
1460616122,5752,5909
1460617322,5756,5913
1460618522,5739,5895
1460620922,5733,5888
1460622122,5735,5891
1460623324,5729,5884
1460625722,5709,5864
1460626921,5717,5872
1460628122,5716,5871
1460629322,5718,5873
1460630522,5707,5862
1460631721,5715,5870
1460632921,5661,5813
1460634122,5672,5824
1460635321,5685,5837
1460636522,5683,5835
1460637722,5679,5830
1460638922,5643,5793
1460640122,5585,5734
1460641321,5572,5720
1460642522,5581,5729
1460643721,5564,5711
1460644921,5566,5712
1460646122,5572,5718
1460647322,5575,5720
1460648522,5577,5718
1460649722,5581,5722
1460650922,5582,5722
1460652722,5579,5719
1460653922,5567,5704
1460655122,5571,5708
1460656322,5542,5677
1460657522,5528,5663
1460658722,5534,5669
1460659922,5518,5651
1460661122,5522,5654
1460662322,5533,5665
1460663522,5540,5671
1460665322,5536,5667
1460666522,5514,5643
1460667722,5500,5627
1460668922,5492,5621
1460670122,5490,5619
1460671322,5489,5617
1460672522,5488,5616
1460673722,5475,5601
1460676122,5471,5596
1460677322,5469,5593
1460678523,5466,5590
1460679724,5467,5589
1460680922,5456,5576
1460682122,5460,5580
1460683322,5455,5573
1460684522,5456,5574
1460685721,5436,5554
1460686922,5437,5555
1460688122,5439,5557
1460689321,5430,5546
1460690522,5422,5535
1460691721,5416,5529
1460692922,5418,5531
1460694122,5405,5516
1460695322,5409,5520
1460696522,5400,5511
1460697722,5397,5508
1460698922,5395,5507
1460700122,5386,5498
1460701322,5354,5466
1460702522,5362,5474
1460703722,5363,5475
1460704923,5425,5537
1460706121,5443,5554
1460707324,5452,5563
1460708522,5464,5574
1460709721,5483,5592
1460710922,5504,5612
1460712122,5505,5611
1460713324,5523,5629
1460714522,5536,5642
1460715722,5558,5664
1460716922,5541,5643
1460718122,5548,5650
1460719321,5555,5656
1460720522,5569,5670
1460722322,5567,5668
1460723522,5592,5693
1460724722,5587,5686
1460725922,5580,5678
1460727122,5589,5687
1460728322,5588,5685
1460729522,5600,5698
1460730722,5591,5688
1460731922,5597,5694
1460733122,5571,5667
1460734922,5570,5665
1460736722,5565,5660
1460737922,5570,5665
1460739122,5562,5657
1460740323,5561,5656
1460742121,5545,5639
1460743322,5558,5652
1460744522,5553,5647
1460745722,5556,5650
1460746923,5564,5658
1460748122,5564,5658
1460749322,5565,5659
1460750524,5573,5667
1460751722,5568,5661
1460752922,5565,5657
1460754122,5564,5656
1460755322,5579,5671
1460756523,5580,5672
1460757722,5563,5655
1460758922,5540,5632
1460760122,5545,5637
1460761322,5551,5643
1460762522,5559,5651
1460763722,5562,5654
1460764922,5568,5660
1460766122,5573,5665
1460767322,5582,5674
1460768522,5587,5679
1460769722,5598,5691
1460770921,5602,5695
1460772125,5579,5672
1460773322,5581,5674
1460774522,5584,5677
1460775721,5595,5688
1460776922,5605,5698
1460778122,5610,5703
1460779322,5614,5707
1460780522,5634,5728
1460781722,5639,5733
1460782922,5616,5710
1460784122,5619,5716
1460785322,5618,5715
1460786522,5624,5721
1460787722,5622,5719
1460788921,5630,5727
1460790122,5637,5734
1460791321,5639,5736
1460792522,5649,5746
1460793721,5652,5749
1460794922,5642,5741
1460796122,5645,5744
1460797321,5648,5747
1460798522,5658,5757
1460799722,5662,5761
1460800922,5644,5743
1460802122,5647,5746
1460803322,5651,5750
1460804523,5651,5750
1460805722,5651,5750
1460806922,5645,5744
1460808122,5636,5735
1460809322,5628,5727
1460810522,5625,5724
1460811722,5631,5730
1460812922,5625,5724
1460814122,5620,5719
1460815322,5609,5708
1460816522,5612,5711
1460817722,5597,5696
1460818922,5593,5692
1460820122,5587,5685
1460821322,5599,5697
1460822522,5597,5695
1460823722,5602,5700
1460824922,5605,5703
1460826122,5603,5701
1460827321,5601,5699
1460828524,5599,5697
1460829722,5593,5692
1460830922,5587,5686
1460832122,5587,5686
1460833324,5589,5688
1460834522,5575,5674
1460835722,5580,5679
1460836922,5572,5671
1460838122,5566,5665
1460839321,5561,5660
1460840522,5554,5653
1460841722,5523,5621
1460842922,5519,5617
1460844121,5517,5615
1460845322,5522,5620
1460846522,5519,5617
1460847722,5512,5610
1460848922,5519,5617
1460850122,5514,5612
1460851322,5518,5617
1460852522,5514,5613
1460854923,5505,5604
1460856121,5507,5606
1460857322,5489,5588
1460858522,5491,5590
1460859722,5466,5565
1460860922,5468,5567
1460862122,5465,5564
1460863321,5450,5549
1460864522,5448,5547
1460865722,5440,5537
1460866921,5438,5535
1460868122,5439,5536
1460869322,5422,5518
1460870522,5448,5544
1460871722,5445,5541
1460872922,5432,5528
1460874122,5442,5538
1460875321,5433,5529
1460876522,5433,5529
1460877722,5430,5526
1460878922,5436,5532
1460880122,5419,5514
1460881322,5421,5516
1460882522,5426,5521
1460883722,5411,5506
1460884922,5412,5508
1460886122,5415,5511
1460887922,5344,5439
1460889123,5338,5433
1460890322,5335,5430
1460891522,5331,5426
1460892722,5316,5409
1460893922,5292,5385
1460895722,5283,5376
1460896922,5285,5378
1460898123,5285,5378
1460899322,5283,5376
1460900522,5284,5377
1460901722,5283,5376
1460902922,5280,5371
1460904122,5275,5366
1460905322,5277,5368
1460906522,5252,5343
1460907722,5241,5332
1460909523,5241,5332
1460910722,5244,5335
1460912522,5234,5324
1460913722,5235,5325
1460914922,5235,5326
1460916122,5199,5287
1460917326,5179,5266
1460918522,5163,5250
1460919722,5155,5242
1460920922,5156,5243
1460922123,5160,5247
1460923322,5152,5239
1460924522,5149,5234
1460925722,5139,5224
1460928122,5135,5220
1460929328,5125,5210
1460930522,5078,5163
1460931722,5072,5156
1460932922,5064,5148
1460934122,5077,5162
1460935322,5061,5146
1460937122,5063,5148
1460938323,5065,5150
1460939522,5064,5149
1460940722,5063,5148
1460941922,5060,5145
1460943122,5067,5151
1460944322,5067,5151
1460945522,5070,5154
1460946727,5068,5152
1460947923,5067,5151
1460949122,5065,5149
1460950327,5068,5152
1460951522,5060,5144
1460952722,5063,5147
1460953922,5070,5158
1460955122,5067,5155
1460956322,5060,5147
1460957522,5065,5152
1460958723,5068,5155
1460959922,5057,5147
1460961722,5016,5105
1460962922,5007,5096
1460964122,5007,5096
1460965328,5008,5097
1460966522,5014,5103
1460967722,5021,5113
1460968922,5026,5120
1460970122,5019,5113
1460971322,4995,5089
1460972522,4975,5069
1460973723,4959,5051
1460975524,4959,5051
1460976722,4974,5072
1460977922,4965,5063
1460979121,4972,5070
1460980322,4976,5073
1460981522,4955,5053
1460982722,4957,5055
1460983922,4954,5052
1460985122,4956,5054
1460986322,4956,5054
1460987525,4960,5060
1460989322,4968,5068
1460990522,4966,5066
1460991722,4965,5065
1460992922,4968,5068
1460994122,4968,5068
1460995322,4965,5065
1460996522,4959,5059
1460997722,4958,5058
1460998922,4969,5070
1461000122,4975,5076
1461001322,4978,5079
1461002522,4958,5059
1461003723,4961,5062
1461004922,4961,5062
1461006123,4965,5066
1461007322,4974,5075
1461008522,4969,5070
1461009722,4970,5071
1461010922,4952,5053
1461012122,4918,5017
1461013324,4906,5005
1461015722,4895,4994
1461016930,4899,4998
1461018122,4898,4997
1461019321,4893,4992
1461020522,4886,4985
1461021722,4887,4986
1461022922,4875,4974
1461024122,4877,4976
1461025322,4874,4973
1461026524,4863,4962
1461027723,4853,4952
1461028922,4851,4950
1461030122,4826,4925
1461031322,4828,4927
1461032522,4829,4928
1461033723,4834,4933
1461034925,4810,4909
1461036122,4818,4917
1461037322,4821,4920
1461038523,4832,4931
1461039722,4827,4927
1461040922,4831,4931
1461042122,4833,4933
1461043322,4839,4939
1461044522,4831,4931
1461045722,4827,4927
1461046922,4832,4932
1461049322,4824,4924
1461050521,4821,4921
1461051729,4818,4918
1461052922,4818,4918
1461054122,4822,4922
1461055323,4804,4902
1461056522,4803,4901
1461057723,4800,4899
1461058922,4799,4898
1461060122,4773,4872
1461061323,4785,4884
1461062526,4794,4893
1461063726,4797,4896
1461064922,4777,4876
1461066123,4776,4877
1461067322,4782,4883
1461069122,4764,4864
1461070323,4761,4861
1461071522,4753,4853
1461072722,4758,4858
1461073922,4764,4864
1461075122,4764,4865
1461076922,4771,4872
1461078122,4755,4856
1461079322,4757,4858
1461080522,4758,4859
1461081725,4776,4877
1461082922,4778,4877
1461084122,4773,4872
1461085323,4782,4881
1461086522,4784,4883
1461087729,4781,4880
1461088922,4788,4887
1461090123,4772,4870
1461091326,4777,4875
1461092523,4783,4881
1461093722,4767,4864
1461094922,4772,4869
1461096123,4774,4871
1461097323,4769,4865
1461098526,4782,4878
1461099723,4767,4862
1461100922,4776,4871
1461104523,4750,4844
1461105722,4750,4843
1461106922,4755,4848
1461108123,4764,4857
1461109322,4772,4865
1461110522,4767,4858
1461111722,4769,4858
1461112922,4779,4867
1461114123,4777,4865
1461115322,4778,4866
1461116522,4781,4869
1461117723,4782,4870
1461118922,4784,4872
1461120122,4788,4876
1461121322,4777,4865
1461122522,4777,4864
1461123722,4772,4856
1461124922,4772,4855
1461126122,4772,4854
1461127331,4772,4854
